#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT01HUQ,80.48043979705,-69.49777153565,DIAZ-MILLER,2,53850.99897,53851.00295,343,UNIDENTIFIED,,53851.37149,10753,2001282611,POLYGON GSC1  80.59884948 -69.50115024  80.48781231 -69.45876334  80.36252505 -69.49486255  80.47383521 -69.53535254  80.59884948 -69.50115024,http://archive.stsci.edu/hst/previews/J9IT/J9IT01HUQ_256.jpg,2000300736,DADS,5420.95813078115
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT02I0Q,80.48915288006,-69.51923153342,DIAZ-MILLER,2,53851.04192,53851.0459,343,UNIDENTIFIED,,53851.78587,10753,2001281980,POLYGON GSC1  80.60768260 -69.52260426  80.49651683 -69.48022296  80.37111864 -69.51632838  80.48255693 -69.55681286  80.60768260 -69.52260426,http://archive.stsci.edu/hst/previews/J9IT/J9IT02I0Q_256.jpg,2000300097,DADS,5428.63238959187
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT02HXQ,80.48902878538,-69.52070403256,DIAZ-MILLER,2,53851.03425,53851.03448,19,UNIDENTIFIED,,53851.37463,10753,2001282612,POLYGON GSC1  80.60756650 -69.52407682  80.49639327 -69.48169546  80.37098630 -69.51780081  80.48243207 -69.55828535  80.60756650 -69.52407682,http://archive.stsci.edu/hst/previews/J9IT/J9IT02HXQ_256.jpg,2000300737,DADS,5430.08290276296
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT02HYQ,80.48902878538,-69.52070403256,DIAZ-MILLER,2,53851.03606,53851.04005,343,UNIDENTIFIED,,53851.37814,10753,2001282613,POLYGON GSC1  80.60756650 -69.52407682  80.49639327 -69.48169546  80.37098630 -69.51780081  80.48243207 -69.55828535  80.60756650 -69.52407682,http://archive.stsci.edu/hst/previews/J9IT/J9IT02HYQ_256.jpg,2000300738,DADS,5430.08290276296
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT02I4Q,80.48741885754,-69.52314371703,DIAZ-MILLER,2,53851.05378,53851.05777,343,UNIDENTIFIED,,53851.79354,10753,2001281981,POLYGON GSC1  80.60597017 -69.52651765  80.49478758 -69.48413522  80.36936347 -69.52023936  80.48081876 -69.56072498  80.60597017 -69.52651765,http://archive.stsci.edu/hst/previews/J9IT/J9IT02I4Q_256.jpg,2000300098,DADS,5434.21137801268
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT02I8Q,80.48729462083,-69.52461621495,DIAZ-MILLER,2,53851.06564,53851.06962,343,UNIDENTIFIED,,53851.80162,10753,2001287682,POLYGON GSC1  80.60585408 -69.52799023  80.49466409 -69.48560773  80.36923114 -69.52171177  80.48069385 -69.56219747  80.60585408 -69.52799023,http://archive.stsci.edu/hst/previews/J9IT/J9IT02I8Q_256.jpg,2000305811,DADS,5435.67403654892
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT02I6Q,80.47844463145,-69.5213314121,DIAZ-MILLER,2,53851.0597,53851.06368,343,UNIDENTIFIED,,53851.79774,10753,2001287681,POLYGON GSC1  80.59698439 -69.52471141  80.48582891 -69.48232329  80.36040037 -69.51842101  80.47182923 -69.55891233  80.59698439 -69.52471141,http://archive.stsci.edu/hst/previews/J9IT/J9IT02I6Q_256.jpg,2000305810,DADS,5443.57160864766
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT06E2Q,80.44108136649,-69.50242735809,DIAZ-MILLER,2,53927.01991,53927.02481,423,UNIDENTIFIED,,53927.17828,10753,2001282618,POLYGON GSC1  80.46226441 -69.54336847  80.55057088 -69.49482040  80.41858392 -69.46178113  80.33565790 -69.50986804  80.46226441 -69.54336847,http://archive.stsci.edu/hst/previews/J9IT/J9IT06E2Q_256.jpg,2000300743,DADS,5475.05582895922
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT07D1Q,80.44093178813,-69.5022479932,DIAZ-MILLER,2,53924.95534,53924.96024,423,UNIDENTIFIED,,53925.60413,10753,2001281989,POLYGON GSC1  80.46211437 -69.54318911  80.55042043 -69.49464111  80.41843479 -69.46160173  80.33550914 -69.50968857  80.46211437 -69.54318911,http://archive.stsci.edu/hst/previews/J9IT/J9IT07D1Q_256.jpg,2000300106,DADS,5475.09556256996
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT04LGQ,80.43270814691,-69.4982522404,DIAZ-MILLER,2,53852.49914,53852.50312,343,UNIDENTIFIED,,53853.64037,10753,2001282616,POLYGON GSC1  80.55111296 -69.50166330  80.44016753 -69.45924607  80.31479732 -69.49531103  80.42601949 -69.53583143  80.55111296 -69.50166330,http://archive.stsci.edu/hst/previews/J9IT/J9IT04LGQ_256.jpg,2000300741,DADS,5479.98921000537
