#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Product Group ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,obsid,distance
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1T,STAR FORMING REGION;STELLAR CLUSTER,IBY01T030,84.37635625,-69.1029,12939,SABBI,3,56445.76711,56445.78648,1598.465576,56445.98877,2012916391,POLYGON 84.37724852 -69.07687777 84.30643958 -69.09971571 84.3759295 -69.12809744 84.44853424 -69.1059371 84.37724852 -69.07687777 84.37724852 -69.07687777,2003851027,4923.34988237494
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1U,STAR FORMING REGION;STELLAR CLUSTER,IBY01U020,84.44892732056,-69.13764182806,12939,SABBI,3,56453.59578,56453.61168,1298.464661,56453.79324,2012916392,POLYGON 84.43688036 -69.11197414 84.37841577 -69.13892502 84.46105245 -69.16246742 84.52158011 -69.13607134 84.43688036 -69.11197414 84.43688036 -69.11197414,2003851028,4934.81521244123
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,JBY07T010,84.48311731121,-69.11016260752,12939,SABBI,3,56393.05692,56393.13806,2270,56393.39017,2012945850,POLYGON 84.43186165 -69.07296031 84.36553269 -69.1246567 84.51369684 -69.14394101 84.58187823 -69.09401383 84.43186165 -69.07296031 84.43186165 -69.07296031,2003880486,4944.95858687821
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1U,STAR FORMING REGION;STELLAR CLUSTER,IBY01U030,84.4464175,-69.12983611111,12939,SABBI,3,56453.63337,56453.65274,1598.465576,56453.79399,2012916393,POLYGON 84.43437771 -69.10416825 84.375931 -69.13111831 84.4585355 -69.15466188 84.51904451 -69.12826666 84.43437771 -69.10416825 84.43437771 -69.10416825,2003851029,4945.43546167773
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V2D,STAR FORMING REGION;STELLAR CLUSTER,IBY02D020,84.60068938398,-69.23868160982,12939,SABBI,3,56455.7188,56455.7347,1298.464661,56455.92866,2012916410,POLYGON 84.59647098 -69.21270048 84.52987789 -69.23724441 84.60522463 -69.26382824 84.67373616 -69.23991559 84.59647098 -69.21270048 84.59647098 -69.21270048,2003851046,4953.15084840118
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,IBY07N020,84.51663348465,-69.16643524253,12939,SABBI,3,56379.39096,56379.4113,1408,56379.59663,2012916472,POLYGON 84.53847573 -69.13641079 84.42695924 -69.157503 84.49464703 -69.19646503 84.60689545 -69.17461977 84.53847573 -69.13641079 84.53847573 -69.13641079,2003851108,4958.55640834665
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V2D,STAR FORMING REGION;STELLAR CLUSTER,IBY02D030,84.60056083333,-69.230825,12939,SABBI,3,56455.75774,56455.79215,1598.465576,56455.9294,2012916411,POLYGON 84.59634418 -69.20484386 84.52977495 -69.22938773 84.60509422 -69.25597164 84.67358118 -69.23205907 84.59634418 -69.20484386 84.59634418 -69.20484386,2003851047,4964.53266948592
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-V7D,STAR FORMING REGION;STELLAR CLUSTER,IBY07D020,84.4613098412,-69.12668982435,12939,SABBI,3,56560.02286,56560.04319,1408,56560.14936,2012916452,POLYGON 84.48878276 -69.09724662 84.37303219 -69.11632904 84.433848 -69.15612256 84.54902691 -69.1376925 84.48878276 -69.09724662 84.48878276 -69.09724662,2003851088,4967.60032711359
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1V,STAR FORMING REGION;STELLAR CLUSTER,IBY01V020,84.51506530133,-69.164582311,12939,SABBI,3,56446.54152,56446.55742,1298.464661,56446.67942,2012916394,POLYGON 84.51596261 -69.13856009 84.44495124 -69.16139712 84.51463489 -69.18977975 84.58744716 -69.16762026 84.51596261 -69.13856009 84.51596261 -69.13856009,2003851030,4972.62933472759
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,IBY07T020,84.57711061736,-69.20355648291,12939,SABBI,3,56393.05595,56393.07628,1408,56393.30229,2012916484,POLYGON 84.61321965 -69.17531924 84.49297147 -69.18926106 84.54082153 -69.2317883 84.66220917 -69.21715116 84.61321965 -69.17531924 84.61321965 -69.17531924,2003851120,4973.89346589715
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-V7J,STAR FORMING REGION;STELLAR CLUSTER,IBY07J020,84.39791382018,-69.07948705936,12939,SABBI,3,56561.00759,56561.0327,1408,56561.51343,2012916464,POLYGON 84.42532774 -69.05004388 84.30982639 -69.06912628 84.37051113 -69.10891978 84.48544166 -69.09048984 84.42532774 -69.05004388 84.42532774 -69.05004388,2003851100,4978.21716822993
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V69,STAR FORMING REGION;STELLAR CLUSTER,IBY069020,84.36718679729,-69.06384342214,12939,SABBI,3,56440.47243,56440.51247,1298.464661,56440.70208,2012916446,POLYGON 84.36807998 -69.0378212 84.297395 -69.06065831 84.36675837 -69.08904087 84.43923585 -69.06688145 84.36807998 -69.0378212 84.36807998 -69.0378212,2003851082,4985.78070355733
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1V,STAR FORMING REGION;STELLAR CLUSTER,IBY01V030,84.51647833333,-69.15674166667,12939,SABBI,3,56446.55828,56446.57765,1598.465576,56446.68024,2012916395,POLYGON 84.51737364 -69.13071944 84.44638926 -69.15355706 84.51604971 -69.18193911 84.58883437 -69.15977903 84.51737364 -69.13071944 84.51737364 -69.13071944,2003851031,4987.20846671217
