instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs filename
ACS WFC 13476 ANY 10.918150 -73.453749 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gjq_flt.fits
ACS WFC 13476 ANY 10.918150 -73.453749 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gjq_raw.fits
ACS WFC 13476 ANY 10.917805 -73.454865 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gmq_flc.fits
ACS WFC 13476 ANY 10.917805 -73.454865 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gmq_flt.fits
ACS WFC 13476 ANY 10.917805 -73.454865 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gmq_raw.fits
ACS WFC 13476 ANY 10.914254 -73.455346 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206goq_flc.fits
ACS WFC 13476 ANY 10.914254 -73.455346 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206goq_flt.fits
ACS WFC 13476 ANY 10.914254 -73.455346 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206goq_raw.fits
ACS WFC 13476 ANY 10.911050 -73.454712 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206grq_flc.fits
ACS WFC 13476 ANY 10.911050 -73.454712 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206grq_flt.fits
ACS WFC 13476 ANY 10.911050 -73.454712 F606W CLEAR2L Kallivayalil 240 2013-10-01 added/smc/ACS/13476_NGC241/jcc206grq_raw.fits
ACS WFC 13476 ANY 10.912374 -73.455143 CLEAR1L F814W Kallivayalil 220 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gtq_flc.fits
ACS WFC 13476 ANY 10.912374 -73.455143 CLEAR1L F814W Kallivayalil 220 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gtq_flt.fits
ACS WFC 13476 ANY 10.912374 -73.455143 CLEAR1L F814W Kallivayalil 220 2013-10-01 added/smc/ACS/13476_NGC241/jcc206gtq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwujq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwujq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwujq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 367 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwulq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 367 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwulq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 367 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwulq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwuxq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwuxq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-14 added/smc/ACS/9488_H86-74/j8i0bwuxq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 473 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvfq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 473 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvfq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 473 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvfq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvmq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvmq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvmq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvoq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvoq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-15 added/smc/ACS/9488_H86-74/j8i0bxvoq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byfwq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byfwq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byfwq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 497 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byfyq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 497 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byfyq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 497 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byfyq_raw.fits
