i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname
73,ACS,WFC,12257,ANY,75.621102,-68.084749,CLEAR1L,F814W,Girardi,340,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s8q_flt.fits,12.0,lmc,NGC1806-FIELD
74,ACS,WFC,12257,ANY,73.616311,-69.910985,CLEAR1L,F814W,Girardi,80,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vhq_flt.fits,13.0,lmc,NGC1751-FIELD
75,ACS,WFC,12257,ANY,73.616311,-69.910985,CLEAR1L,F435W,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52viq_flt.fits,13.0,lmc,NGC1751-FIELD
76,ACS,WFC,12257,ANY,73.616311,-69.910985,F555W,CLEAR2L,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vkq_flt.fits,13.0,lmc,NGC1751-FIELD
77,ACS,WFC,12257,ANY,73.616175,-69.910977,F555W,CLEAR2L,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vnq_flt.fits,13.0,lmc,NGC1751-FIELD
78,ACS,WFC,12257,ANY,73.616175,-69.910977,CLEAR1L,F814W,Girardi,300,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vrq_flt.fits,13.0,lmc,NGC1751-FIELD
79,ACS,WFC,12257,ANY,73.614623,-69.91024,CLEAR1L,F435W,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vtq_flt.fits,13.0,lmc,NGC1751-FIELD
80,ACS,WFC,12257,ANY,73.614623,-69.91024,CLEAR1L,F814W,Girardi,340,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vvq_flt.fits,13.0,lmc,NGC1751-FIELD
81,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,850,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502s1q_flt.fits,14.0,lmc,LMC-FIELD-NW
82,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,400,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502s6q_flt.fits,14.0,lmc,LMC-FIELD-NW
83,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,550,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502scq_flt.fits,14.0,lmc,LMC-FIELD-NW
84,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502shq_flt.fits,14.0,lmc,LMC-FIELD-NW
85,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,700,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502soq_flt.fits,14.0,lmc,LMC-FIELD-NW
86,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,850,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502ssq_flt.fits,14.0,lmc,LMC-FIELD-NW
87,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502syq_flt.fits,14.0,lmc,LMC-FIELD-NW
88,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502t4q_flt.fits,14.0,lmc,LMC-FIELD-NW
89,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502taq_flt.fits,14.0,lmc,LMC-FIELD-NW
90,ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,1,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502tkq_flt.fits,14.0,lmc,LMC-FIELD-NW
91,ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,1,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502tvq_flt.fits,14.0,lmc,LMC-FIELD-NW
92,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,1,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503szq_flt.fits,15.0,lmc,BSDL2856
93,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,980,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503t6q_flt.fits,15.0,lmc,BSDL2856
94,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,1165,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503taq_flt.fits,15.0,lmc,BSDL2856
95,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,980,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503tgq_flt.fits,15.0,lmc,BSDL2856
96,ACS,WFC,12581,ANY,85.481345,-69.047,CLEAR1L,F814W,Roman-Duval,980,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503toq_flt.fits,15.0,lmc,BSDL2856
97,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,1100,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503ttq_flt.fits,15.0,lmc,BSDL2856
98,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,680,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503tzq_flt.fits,15.0,lmc,BSDL2856
99,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,1,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503u3q_flt.fits,15.0,lmc,BSDL2856
100,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,680,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503u7q_flt.fits,15.0,lmc,BSDL2856
101,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,850,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503udq_flt.fits,15.0,lmc,BSDL2856
102,ACS,WFC,12581,ANY,85.481345,-69.047,F475W,CLEAR2L,Roman-Duval,800,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503ukq_flt.fits,15.0,lmc,BSDL2856
103,ACS,WFC,12908,ANY,92.084918,-73.752645,CLEAR1L,F814W,Goudfrooij,383,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01h3q_flt.fits,16.0,lmc,NGC2209-FIELD
104,ACS,WFC,12908,ANY,92.084918,-73.752645,CLEAR1L,F435W,Goudfrooij,820,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01h6q_flt.fits,16.0,lmc,NGC2209-FIELD
