k,i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
116,111,ACS,WFC,13009,ANY,85.929747,-69.117337,F606W,CLEAR2L,De Marchi,130,2013-09-23,lmc_fields/ACS/13009_ANY/jbyy31miq_flt.fits,18.0,lmc,NGC2108,POLYGON ICRS  86.02798421 -69.09015103  86.01186138 -69.14671465  85.85041355 -69.14385340  85.87060654 -69.08879447  86.02798421 -69.09015103
117,112,ACS,WFC,13009,ANY,85.92984,-69.117291,CLEAR1L,F814W,De Marchi,347,2013-09-23,lmc_fields/ACS/13009_ANY/jbyy31mvq_flt.fits,18.0,lmc,NGC2108,POLYGON ICRS  86.02798421 -69.09015103  86.01186138 -69.14671465  85.85041355 -69.14385340  85.87060654 -69.08879447  86.02798421 -69.09015103
118,573,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F435W,Goudfrooij,90,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fdq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
119,574,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F435W,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05feq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
120,575,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F435W,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fgq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
121,576,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,F555W,CLEAR2L,Goudfrooij,40,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fjq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
122,577,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,F555W,CLEAR2L,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fkq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
123,578,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,F555W,CLEAR2L,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fmq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
124,579,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F814W,Goudfrooij,8,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fpq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
125,580,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F814W,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fqq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
126,581,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F814W,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fsq_flt.fits,18.0,lmc,NGC2108,POLYGON 85.98892996 -69.14750733 85.92290533 -69.16138641 85.98689603 -69.21204518 86.05576988 -69.19855813 85.98892996 -69.14750733 85.98892996 -69.14750733
127,712,ACS,WFC,9891,NGC2108,85.986417,-69.181681,F555W,CLEAR2L,Gilmore,250,2003-08-16,clusters/ACS/9891_NGC2108/j8ne75idq_flt.fits,18.0,lmc,NGC2108,POLYGON J2000 85.97769650 -69.14906000 85.91481300 -69.16533580 85.99584040 -69.21343980 86.05880220 -69.19713440 85.97769650 -69.14906000 POLYGON J2000 85.97807140 -69.14857910 86.06195980 -69.19682640 86.12735110 -69.18010980 86.04338250 -69.13189430 85.97807140 -69.14857910
128,713,ACS,WFC,9891,NGC2108,85.986417,-69.181681,CLEAR1L,F814W,Gilmore,170,2003-08-16,clusters/ACS/9891_NGC2108/j8ne75j2q_flt.fits,18.0,lmc,NGC2108,POLYGON J2000 85.97769650 -69.14906000 85.91481300 -69.16533580 85.99584040 -69.21343980 86.05880220 -69.19713440 85.97769650 -69.14906000 POLYGON J2000 85.97807140 -69.14857910 86.06195980 -69.19682640 86.12735110 -69.18010980 86.04338250 -69.13189430 85.97807140 -69.14857910
129,113,ACS,WFC,13009,ANY,84.540607,-69.35361,F606W,CLEAR2L,De Marchi,300,2013-09-29,lmc_fields/ACS/13009_ANY/jbyy51t1q_flt.fits,19.0,lmc,GKK-O167,POLYGON ICRS  84.64878062 -69.33101604  84.61253950 -69.38641689  84.45162688 -69.37638096  84.49140227 -69.32265451  84.64878062 -69.33101604
130,114,ACS,WFC,13009,ANY,84.540717,-69.353568,CLEAR1L,F814W,De Marchi,347,2013-09-29,lmc_fields/ACS/13009_ANY/jbyy51tbq_flt.fits,19.0,lmc,GKK-O167,POLYGON ICRS  84.64878062 -69.33101604  84.61253950 -69.38641689  84.45162688 -69.37638096  84.49140227 -69.32265451  84.64878062 -69.33101604
135,119,ACS,WFC,9419,N11-FIELD,74.664958,-66.582506,CLEAR1L,F814W,Maiz Apellaniz,2,2003-06-18,lmc_fields/ACS/9419_N11-FIELD/j8dj07osq_flt.fits,21.0,lmc,LMC-FIELD-NE,POLYGON 74.74841535 -66.55657918 74.60858139 -66.54491308 74.59030814 -66.60062736 74.72638012 -66.61345558 74.74841535 -66.55657918 74.74841535 -66.55657918
136,120,ACS,WFC,9419,N11-FIELD,74.664958,-66.582506,CLEAR1L,F814W,Maiz Apellaniz,465,2003-06-18,lmc_fields/ACS/9419_N11-FIELD/j8dj07ouq_flt.fits,21.0,lmc,LMC-FIELD-NE,POLYGON 74.74841535 -66.55657918 74.60858139 -66.54491308 74.59030814 -66.60062736 74.72638012 -66.61345558 74.74841535 -66.55657918 74.74841535 -66.55657918
137,121,ACS,WFC,9419,N11-FIELD,74.664958,-66.582506,CLEAR1L,F435W,Maiz Apellaniz,1,2003-06-18,lmc_fields/ACS/9419_N11-FIELD/j8dj07pdq_flt.fits,21.0,lmc,LMC-FIELD-NE,POLYGON 74.74841535 -66.55657918 74.60858139 -66.54491308 74.59030814 -66.60062736 74.72638012 -66.61345558 74.74841535 -66.55657918 74.74841535 -66.55657918
138,122,ACS,WFC,9419,N11-FIELD,74.664958,-66.582506,CLEAR1L,F435W,Maiz Apellaniz,465,2003-06-18,lmc_fields/ACS/9419_N11-FIELD/j8dj07pfq_flt.fits,21.0,lmc,LMC-FIELD-NE,POLYGON 74.74841535 -66.55657918 74.60858139 -66.54491308 74.59030814 -66.60062736 74.72638012 -66.61345558 74.74841535 -66.55657918 74.74841535 -66.55657918
216,582,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,CLEAR1L,F435W,Goudfrooij,55,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08wdq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
217,583,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,CLEAR1L,F435W,Goudfrooij,340,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08weq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
218,584,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,CLEAR1L,F435W,Goudfrooij,340,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08wgq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
219,585,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,F555W,CLEAR2L,Goudfrooij,25,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08wjq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
220,586,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,F555W,CLEAR2L,Goudfrooij,340,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08wkq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
221,587,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,F555W,CLEAR2L,Goudfrooij,340,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08wmq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
222,588,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,CLEAR1L,F814W,Goudfrooij,15,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08wpq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
223,589,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,CLEAR1L,F814W,Goudfrooij,340,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08wqq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
224,590,ACS,WFC,10595,ESO057-SC075,93.3625,-70.695278,CLEAR1L,F814W,Goudfrooij,340,2005-11-17,clusters/ACS/10595_ESO057-SC075/j9es08wsq_flt.fits,65.0,lmc,ESO57-75,POLYGON 93.40446532 -70.66913348 93.26731519 -70.70115599 93.32145769 -70.72260209 93.45933985 -70.68950539 93.40446532 -70.66913348 93.40446532 -70.66913348
245,626,ACS,WFC,9827,ANY,83.329686,-70.999338,CLEAR1L,F435W,Bianchi,65,2004-07-05,clusters/ACS/9827_ANY_NGC2031/j8qz12ecq_flt.fits,67.0,lmc,NGC2031,POLYGON J2000 83.37184160 -71.03847690 83.40339920 -71.01278200 83.24993410 -70.98735760 83.21821730 -71.01302650 83.37184160 -71.03847690 POLYGON J2000 83.43899000 -70.98541950 83.28284000 -70.96040160 83.24949690 -70.98687940 83.40581430 -71.01192530 83.43899000 -70.98541950
