i,j,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
951,337,ACS,WFC,10248,NGC299,13.354167,-72.197583,F555W,CLEAR2L,Nota,463,2004-09-07,clusters/ACS/10248_NGC299/j92f11hrq_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
952,338,ACS,WFC,10248,NGC299,13.354167,-72.197583,F555W,CLEAR2L,Nota,463,2004-09-07,clusters/ACS/10248_NGC299/j92f11htq_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
953,339,ACS,WFC,10248,NGC299,13.354167,-72.197583,F555W,CLEAR2L,Nota,463,2004-09-07,clusters/ACS/10248_NGC299/j92f11hvq_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
954,340,ACS,WFC,10248,NGC299,13.354167,-72.197583,F555W,CLEAR2L,Nota,463,2004-09-07,clusters/ACS/10248_NGC299/j92f11hxq_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
955,341,ACS,WFC,10248,NGC299,13.354167,-72.197583,F555W,CLEAR2L,Nota,3,2004-09-07,clusters/ACS/10248_NGC299/j92f11i0q_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
956,342,ACS,WFC,10248,NGC299,13.354167,-72.197583,CLEAR1L,F814W,Nota,3,2004-09-07,clusters/ACS/10248_NGC299/j92f11i2q_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
957,343,ACS,WFC,10248,NGC299,13.354167,-72.197583,CLEAR1L,F814W,Nota,490,2004-09-07,clusters/ACS/10248_NGC299/j92f11i3q_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
958,344,ACS,WFC,10248,NGC299,13.354167,-72.197583,CLEAR1L,F814W,Nota,490,2004-09-07,clusters/ACS/10248_NGC299/j92f11i5q_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
959,345,ACS,WFC,10248,NGC299,13.354167,-72.197583,CLEAR1L,F814W,Nota,490,2004-09-07,clusters/ACS/10248_NGC299/j92f11i7q_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
960,346,ACS,WFC,10248,NGC299,13.354167,-72.197583,CLEAR1L,F814W,Nota,490,2004-09-07,clusters/ACS/10248_NGC299/j92f11i9q_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
