#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,distance
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J96101020,16.99004627332,-72.36269657534,10396,GALLAGHER,3,53696.67137,53696.74867,1896,54062.05403,2012933895,POLYGON 17.10439858 -72.35998764 16.96489742 -72.3240335 16.85351368 -72.37062469 16.99963469 -72.40637241 17.10439858 -72.35998764 17.10439858 -72.35998764,4279.37703441132
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J96101030,16.99004627332,-72.36269657534,10396,GALLAGHER,3,53696.78434,53696.79047,40,54062.06837,2012933896,POLYGON 17.10439858 -72.35998764 16.96489742 -72.3240335 16.85351368 -72.37062469 16.99963469 -72.40637241 17.10439858 -72.35998764 17.10439858 -72.35998764,4279.37703441132
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J96101040,16.99004627332,-72.36269657534,10396,GALLAGHER,3,53696.8023,53696.80806,0,54062.06844,2012933897,POLYGON 17.10439858 -72.35998764 16.96489742 -72.3240335 16.85351368 -72.37062469 16.99963469 -72.40637241 17.10439858 -72.35998764 17.10439858 -72.35998764,4279.37703441132
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J96121010,16.97505258869,-72.35132612675,10396,GALLAGHER,3,53802.53328,53802.53918,20,54167.92411,2012933946,POLYGON 17.10357317 -72.35726368 16.99669154 -72.30972939 16.83643287 -72.33913672 16.94439169 -72.38481828 17.10357317 -72.35726368 17.10357317 -72.35726368,4310.62609372972
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J96121020,16.97505258869,-72.35132612675,10396,GALLAGHER,3,53802.54104,53802.61759,1896,54168.02286,2012933947,POLYGON 17.10357317 -72.35726368 16.99669154 -72.30972939 16.83643287 -72.33913672 16.94439169 -72.38481828 17.10357317 -72.35726368 17.10357317 -72.35726368,4310.62609372972
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J96121030,16.97505258869,-72.35132612675,10396,GALLAGHER,3,53802.63231,53802.66417,40,54168.03708,2012933948,POLYGON 17.10357317 -72.35726368 16.99669154 -72.30972939 16.83643287 -72.33913672 16.94439169 -72.38481828 17.10357317 -72.35726368 17.10357317 -72.35726368,4310.62609372972
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J96121040,16.97505258869,-72.35132612675,10396,GALLAGHER,3,53802.66603,53802.69456,1984,54168.1149,2012933949,POLYGON 17.10357317 -72.35726368 16.99669154 -72.30972939 16.83643287 -72.33913672 16.94439169 -72.38481828 17.10357317 -72.35726368 17.10357317 -72.35726368,4310.62609372972
image,HST,ACS/HRC,DADS,F555W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J961A1010,16.99570833333,-72.35541666667,10396,GALLAGHER,3,53594.37594,53594.37758,70,53959.60904,2012933954,POLYGON 17.01367476 -72.35388379 16.99340497 -72.35040575 16.97791316 -72.35694963 16.99811814 -72.36049404 17.01367476 -72.35388379 17.01367476 -72.35388379,4423.3512237562
image,HST,ACS/HRC,DADS,F555W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J961A1020,16.99570833333,-72.35541666667,10396,GALLAGHER,3,53594.3813,53594.39752,1200,53959.60918,2012933955,POLYGON 17.01367476 -72.35388379 16.99340497 -72.35040575 16.97791316 -72.35694963 16.99811814 -72.36049404 17.01367476 -72.35388379 17.01367476 -72.35388379,4423.3512237562
image,HST,ACS/HRC,DADS,F814W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J961A1030,16.99570833333,-72.35541666667,10396,GALLAGHER,3,53594.39904,53594.40034,40,53959.60956,2012933956,POLYGON 17.01367476 -72.35388379 16.99340497 -72.35040575 16.97791316 -72.35694963 16.99811814 -72.36049404 17.01367476 -72.35388379 17.01367476 -72.35388379,4423.3512237562
image,HST,ACS/HRC,DADS,F814W,OPTICAL,NGC416,EXT-CLUSTER;GLOBULAR CLUSTER,J961A1040,16.99570833333,-72.35541666667,10396,GALLAGHER,3,53594.40112,53594.41545,1036,53959.60968,2012933957,POLYGON 17.01367476 -72.35388379 16.99340497 -72.35040575 16.97791316 -72.35694963 16.99811814 -72.36049404 17.01367476 -72.35388379 17.01367476 -72.35388379,4423.3512237562
image,HST,WFC3/UVIS,DADS,F814W,OPTICAL,NGC-152,GLOBULAR CLUSTER;STELLAR CLUSTER,IBYL03030,8.228841666667,-73.11725,12908,GOUDFROOIJ,3,56433.99787,56434.02831,700,56799.09932,2012916862,POLYGON 8.30034096 -73.10171763 8.22950183 -73.09253941 8.15762264 -73.13265804 8.22820486 -73.14151968 8.30034096 -73.10171763 8.30034096 -73.10171763,5247.58993275203
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-411,EXT-CLUSTER;GLOBULAR CLUSTER,IBHY12040,16.97597277388,-71.76150424502,12257,GIRARDI,3,55801.32375,55801.39534,2200,56167.48171,2012910767,POLYGON 17.04532685 -71.73934239 16.90022639 -71.73838603 16.90655143 -71.78364896 17.05027989 -71.78510928 17.04532685 -71.73934239 17.04532685 -71.73934239,5542.19918518603
image,HST,WFC3/UVIS,DADS,F814W,OPTICAL,NGC-411,EXT-CLUSTER;GLOBULAR CLUSTER,IBHY12030,16.97597277388,-71.76150424502,12257,GIRARDI,3,55801.3216,55801.36076,1980,56167.43772,2012910766,POLYGON 17.0453271 -71.73934246 16.90022665 -71.73838594 16.90655119 -71.78364888 17.05027964 -71.78510936 17.0453271 -71.73934246 17.0453271 -71.73934246,5542.19919420211
image,HST,WFC3/UVIS,DADS,F475W,OPTICAL,NGC-411,EXT-CLUSTER;GLOBULAR CLUSTER,IBHY12050,16.97448457878,-71.76068292546,12257,GIRARDI,3,55801.37436,55801.42543,1520,56167.48315,2012910768,POLYGON 17.04383738 -71.73852161 16.8987433 -71.73756413 16.90506452 -71.78282711 17.04878661 -71.78428853 17.04383738 -71.73852161 17.04383738 -71.73852161,5543.0788281971
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC339,EXT-CLUSTER;GLOBULAR CLUSTER,J96104010,14.44946191428,-74.47331354683,10396,GALLAGHER,3,53702.39164,53702.44677,20,54067.64837,2012933906,POLYGON 14.57891617 -74.47602166 14.44375862 -74.43393488 14.29222269 -74.4747052 14.43474196 -74.51690847 14.57891617 -74.47602166 14.57891617 -74.47602166,5918.55625366529
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC339,EXT-CLUSTER;GLOBULAR CLUSTER,J96104020,14.44946191428,-74.47331354683,10396,GALLAGHER,3,53702.44863,53702.52608,1896,54067.83084,2012933907,POLYGON 14.57891617 -74.47602166 14.44375862 -74.43393488 14.29222269 -74.4747052 14.43474196 -74.51690847 14.57891617 -74.47602166 14.57891617 -74.47602166,5918.55625366529
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC339,EXT-CLUSTER;GLOBULAR CLUSTER,J96104030,14.44946191428,-74.47331354683,10396,GALLAGHER,3,53702.53216,53702.58013,40,54067.84492,2012933908,POLYGON 14.57891617 -74.47602166 14.44375862 -74.43393488 14.29222269 -74.4747052 14.43474196 -74.51690847 14.57891617 -74.47602166 14.57891617 -74.47602166,5918.55625366529
