# instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs file
ACS WFC 12257 ANY 75.622736 -68.085469 CLEAR1L F435W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51rvq_flt.fits 
ACS WFC 12257 ANY 75.622736 -68.085469 F555W CLEAR2L Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51rxq_flc.fits 
ACS WFC 12257 ANY 75.622736 -68.085469 F555W CLEAR2L Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51rxq_flt.fits 
ACS WFC 12257 ANY 75.622610 -68.085463 F555W CLEAR2L Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51s0q_flc.fits 
ACS WFC 12257 ANY 75.622610 -68.085463 F555W CLEAR2L Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51s0q_flt.fits 
ACS WFC 12257 ANY 75.622610 -68.085463 CLEAR1L F814W Girardi_Leo 300 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51s4q_flc.fits 
ACS WFC 12257 ANY 75.622610 -68.085463 CLEAR1L F814W Girardi_Leo 300 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51s4q_flt.fits 
ACS WFC 12257 ANY 75.621102 -68.084749 CLEAR1L F435W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51s6q_flc.fits 
ACS WFC 12257 ANY 75.621102 -68.084749 CLEAR1L F435W Girardi_Leo 350 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51s6q_flt.fits 
ACS WFC 12257 ANY 75.621102 -68.084749 CLEAR1L F814W Girardi_Leo 340 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51s8q_flc.fits 
ACS WFC 12257 ANY 75.621102 -68.084749 CLEAR1L F814W Girardi_Leo 340 2011-10-12 lmc_fields/ACS/12257_ANY/jbhy51s8q_flt.fits 
ACS WFC 12257 ANY 73.616311 -69.910985 CLEAR1L F814W Girardi_Leo 80 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vhq_flc.fits 
ACS WFC 12257 ANY 73.616311 -69.910985 CLEAR1L F814W Girardi_Leo 80 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vhq_flt.fits 
ACS WFC 12257 ANY 73.616311 -69.910985 CLEAR1L F435W Girardi_Leo 350 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52viq_flc.fits 
ACS WFC 12257 ANY 73.616311 -69.910985 CLEAR1L F435W Girardi_Leo 350 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52viq_flt.fits 
ACS WFC 12257 ANY 73.616311 -69.910985 F555W CLEAR2L Girardi_Leo 350 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vkq_flc.fits 
ACS WFC 12257 ANY 73.616311 -69.910985 F555W CLEAR2L Girardi_Leo 350 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vkq_flt.fits 
ACS WFC 12257 ANY 73.616175 -69.910977 F555W CLEAR2L Girardi_Leo 350 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vnq_flc.fits 
ACS WFC 12257 ANY 73.616175 -69.910977 F555W CLEAR2L Girardi_Leo 350 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vnq_flt.fits 
ACS WFC 12257 ANY 73.616175 -69.910977 CLEAR1L F814W Girardi_Leo 300 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vrq_flc.fits 
ACS WFC 12257 ANY 73.616175 -69.910977 CLEAR1L F814W Girardi_Leo 300 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vrq_flt.fits 
ACS WFC 12257 ANY 73.614623 -69.910240 CLEAR1L F435W Girardi_Leo 350 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vtq_flc.fits 
ACS WFC 12257 ANY 73.614623 -69.910240 CLEAR1L F435W Girardi_Leo 350 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vtq_flt.fits 
ACS WFC 12257 ANY 73.614623 -69.910240 CLEAR1L F814W Girardi_Leo 340 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vvq_flc.fits 
ACS WFC 12257 ANY 73.614623 -69.910240 CLEAR1L F814W Girardi_Leo 340 2011-10-13 lmc_fields/ACS/12257_ANY/jbhy52vvq_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 850 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502s1q_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 850 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502s1q_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 400 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502s6q_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 400 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502s6q_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 550 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502scq_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 550 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502scq_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 500 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502shq_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 500 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502shq_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 700 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502soq_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 700 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502soq_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 850 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502ssq_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 850 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502ssq_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 500 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502syq_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 500 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502syq_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 500 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502t4q_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 500 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502t4q_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 500 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502taq_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 500 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502taq_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 1 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502tkq_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 F475W CLEAR2L Roman-Duval_Julia 1 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502tkq_flt.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 1 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502tvq_flc.fits 
ACS WFC 12581 ANY 85.728742 -69.671222 CLEAR1L F814W Roman-Duval_Julia 1 2012-10-25 lmc_fields/ACS/12581_ANY/jbp502tvq_flt.fits 
ACS WFC 12581 ANY 85.481345 -69.047000 CLEAR1L F814W Roman-Duval_Julia 1 2012-01-25 lmc_fields/ACS/12581_ANY/jbp503szq_flc.fits 
ACS WFC 12581 ANY 85.481345 -69.047000 CLEAR1L F814W Roman-Duval_Julia 1 2012-01-25 lmc_fields/ACS/12581_ANY/jbp503szq_flt.fits 
ACS WFC 12581 ANY 85.481345 -69.047000 CLEAR1L F814W Roman-Duval_Julia 980 2012-01-25 lmc_fields/ACS/12581_ANY/jbp503t6q_flc.fits 
ACS WFC 12581 ANY 85.481345 -69.047000 CLEAR1L F814W Roman-Duval_Julia 980 2012-01-25 lmc_fields/ACS/12581_ANY/jbp503t6q_flt.fits 
ACS WFC 12581 ANY 85.481345 -69.047000 CLEAR1L F814W Roman-Duval_Julia 1165 2012-01-25 lmc_fields/ACS/12581_ANY/jbp503taq_flc.fits 
