#@ string, ra, dec, float, float, float, float, int, string
# Name RA Dec M_V logAge elogAge logMass Source AltName
NGC2030      5h35m39.0s -66d01m50.2s -6.32 8.00 0.60 3.76 1 NA
HDE269828    5h36m00.4s -69d11m50.5s -7.97 7.18 0.09 3.90 2 NA
NGC2051      5h36m07.0s -71d00m42.1s -6.92 8.00 0.40 4.00 1 NA
LT-delta     5h36m10.0s -69d11m46.0s -7.94 7.30 0.20 3.96 1 NA
NGC2041      5h36m28.0s -66d59m26.2s -8.52 7.40 0.40 4.27 1 NA
SL607        5h36m31.4s -68d48m44.6s -5.66 8.59 0.07 3.90 2 KMHK1137
NGC2056      5h36m34.0s -70d40m18.0s -6.73 8.40 0.05 4.20 4 NA
NGC2053      5h37m40.5s -67d24m51.4s -6.46 8.09 0.27 3.87 2 NA
IC2146       5h37m46.0s -74d46m58.0s -6.09 9.19 0.05 4.51 4 NA
M-OB1        5h38m16.0s -69d03m58.0s -7.76 7.40 0.20 3.96 1 NA
SL629        5h38m22.0s -68d46m50.7s -4.45 9.31 0.02 4.00 2 KMHK1169
SL628        5h38m30.0s -67d19m57.0s -6.44 8.30 0.15 4.02 2 KMHK1166
BSDL2652     5h38m31.1s -68d08m23.0s -3.93 9.24 0.11 3.73 2 NA
KMHK1188     5h39m30.0s -68d19m21.0s -4.08 9.48 0.02 4.00 2 NA
NGC2091      5h40m58.0s -69d26m11.0s -6.95 7.70 0.40 3.84 1 NA
NGC2088      5h40m58.0s -68d27m52.9s -6.32 7.90 0.20 3.71 1 NA
BSDL2794     5h41m10.0s -69d10m44.0s -5.55 9.07 0.24 4.18 2 NA
NGC2093      5h41m49.0s -68d55m15.0s -7.22 7.48 0.15 3.80 2 NA
KMHK1244     5h42m00.0s -67d20m34.1s -6.79 7.90 0.20 3.90 1 NA
NGC2100      5h42m08.6s -69d12m44.0s -9.93 7.20 0.20 4.48 4 NA
NGC2096      5h42m16.0s -68d27m29.9s -7.51 7.50 0.20 3.93 1 NA
