Name,n_Name,E_B-V_,R,l_Age,Age,q_Age,Age2,RAJ2000,DEJ2000,Vmag,e_Vmag,SimbadName,Cross-ID
LMC2709,*,0.019999999552965164,0.5099999904632568,,8.800000190734863,3,nan,83.90416666666665,-68.46694444444444,16.84000015258789,0.11999999731779099,KMHK1118,KMHK1118
LMC2711,*,0.05000000074505806,0.7200000286102295,,7.199999809265137,1,nan,83.90833333333332,-68.85888888888888,11.270000457763672,0.11999999731779099,KMHK1122,KMHK1122
LMC2713,,0.05000000074505806,0.28999999165534973,,7.699999809265137,1,nan,83.92083333333332,-66.54305555555554,13.380000114440918,0.10999999940395355,KMHK1115,KMHK1115
LMC2717,,0.07999999821186066,0.3400000035762787,,7.199999809265137,1,nan,83.98333333333332,-67.45888888888888,11.460000038146973,0.11999999731779099,BSDL2507,BSDL2507
LMC2718,*,0.05000000074505806,0.23999999463558197,,7.699999809265137,2,nan,83.99999999999999,-66.88527777777777,14.569999694824219,0.10000000149011612,BSDL2508,BSDL2508
LMC2722,*,0.019999999552965164,0.2800000011920929,,7.400000095367432,3,nan,84.04999999999998,-66.87194444444444,14.489999771118164,0.10000000149011612,BSDL2520,BSDL2520
LMC2730,,0.20000000298023224,0.30000001192092896,,7.5,3,nan,84.13333333333333,-69.45583333333333,13.25,0.14000000059604645,BSDL2565,BSDL2565
LMC2733,,0.019999999552965164,0.4000000059604645,,7.300000190734863,2,nan,84.15416666666665,-67.455,12.579999923706055,0.10999999940395355,BSDL2551,BSDL2551
LMC2735,*,0.07999999821186066,0.23999999463558197,,7.699999809265137,2,nan,84.17916666666666,-69.6511111111111,14.119999885559082,0.12999999523162842,BSDL2575,BSDL2575
LMC2743,,0.10000000149011612,0.49000000953674316,,7.900000095367432,1,nan,84.27083333333333,-67.86972222222221,13.75,0.10999999940395355,KMHK1142,KMHK1142
LMC2762,,0.10000000149011612,0.28999999165534973,,8.199999809265137,1,nan,84.50416666666665,-67.26027777777777,16.15999984741211,0.11999999731779099,KMHK1159,KMHK1159
LMC2765,,0.20000000298023224,0.4300000071525574,,7.800000190734863,1,nan,84.55833333333332,-71.0961111111111,14.079999923706055,0.09000000357627869,[HS66] 375,"HS375,KMHK1172"
LMC2766,,0.10000000149011612,0.2800000011920929,,8.300000190734863,1,nan,84.62916666666665,-72.32527777777777,15.359999656677246,0.11999999731779099,BSDL2682,BSDL2682
LMC2769,,0.20000000298023224,0.699999988079071,,7.699999809265137,2,nan,84.64999999999999,-65.84277777777777,14.899999618530273,0.11999999731779099,BSDL2644,BSDL2644
LMC2773,,0.20000000298023224,0.23999999463558197,,8.100000381469727,2,nan,84.70833333333333,-68.81805555555555,15.84000015258789,0.12999999523162842,BSDL2666,BSDL2666
LMC2789,*,0.20000000298023224,0.33000001311302185,,7.599999904632568,1,nan,84.95833333333333,-69.38694444444444,13.0600004196167,0.14000000059604645,BSDL2721,BSDL2721
LMC2790,*,0.05000000074505806,0.4300000071525574,,7.599999904632568,1,nan,84.97916666666666,-69.40694444444443,12.180000305175781,0.14000000059604645,BSDL2726,BSDL2726
LMC2793,,0.10000000149011612,0.20000000298023224,,7.699999809265137,1,nan,85.01666666666665,-66.93388888888887,14.40999984741211,0.10000000149011612,BSDL2712,BSDL2712
LMC2794,,0.10000000149011612,0.2800000011920929,,8.0,2,nan,85.02083333333333,-69.365,13.670000076293945,0.14000000059604645,BSDL2738,BSDL2738
LMC2796,,0.12999999523162842,0.3499999940395355,,7.599999904632568,1,nan,85.03333333333332,-67.09722222222221,13.140000343322754,0.10999999940395355,BSDL2717,BSDL2717
LMC2801,*,0.10000000149011612,0.3799999952316284,,7.300000190734863,1,nan,85.05416666666666,-69.40166666666666,11.460000038146973,0.14000000059604645,BSDL2747,BSDL2747
LMC2802,,0.10000000149011612,0.3400000035762787,,8.399999618530273,2,nan,85.06666666666665,-71.30805555555554,14.65999984741211,0.10000000149011612,KMHK1217,KMHK1217
LMC2804,,0.05000000074505806,0.23000000417232513,,8.399999618530273,2,nan,85.10833333333332,-66.57333333333332,16.520000457763672,0.11999999731779099,BSDL2734,BSDL2734
LMC2808,*,0.25,0.23999999463558197,,7.800000190734863,2,nan,85.1625,-69.25805555555554,15.140000343322754,0.14000000059604645,BSDL2768,BSDL2768
LMC2809,*,0.10000000149011612,0.44999998807907104,,7.599999904632568,1,nan,85.16666666666666,-67.35305555555554,12.399999618530273,0.10999999940395355,KMHK1212,KMHK1212
LMC2814,,0.30000001192092896,0.23000000417232513,,7.400000095367432,2,nan,85.23749999999998,-69.46416666666666,14.4399995803833,0.12999999523162842,BSDL2786,BSDL2786
LMC2816,*,0.019999999552965164,0.2199999988079071,,8.199999809265137,2,nan,85.26666666666665,-67.46722222222222,16.219999313354492,0.10999999940395355,BSDL2773,BSDL2773
LMC2820,*,0.10000000149011612,0.3499999940395355,,7.900000095367432,1,nan,85.30416666666666,-67.23305555555555,16.479999542236328,0.10999999940395355,BSDL2781,BSDL2781
LMC2823,,0.15000000596046448,0.33000001311302185,,8.0,1,nan,85.32499999999999,-69.3261111111111,15.239999771118164,0.14000000059604645,BSDL2807,BSDL2807
