Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName
@string,ra,dec,string,float,float,int,string,string
LOGLE506,82.11666667,-69.89694444,C,0.839999974,0.839999974,0,,OGLE-CL LMC 506
"BSDL1897,LOGLE507",82.13333333,-69.84222222,C,0.600000024,0.550000012,60,mT,BSDL1897
"SL496,LW218,KMHK935",82.13333333,-65.17388889,C,0.899999976,0.800000012,60,,[SL63] 496
"SL498,KMHK943",82.14166667,-67.225,C,1.200000048,1.200000048,0,in DEML212,[SL63] 498
"HS320,LOGLE508",82.15,-69.61083333,C,0.850000024,0.75,90,,[HS66] 320
"SL500,LW219,KHMK937",82.1625,-64.85166667,C,1.299999952,1.299999952,0,,[SL63] 500
"H14,SL506,LW220,KMHK967",82.1625,-73.63027778,C,1.399999976,1.399999976,0,,[H60b] 14
"BSDL1908,LOGLE510",82.17083333,-69.95361111,C,0.899999976,0.75,70,mP,BSDL1908
"BSDL1906,LOGLE509",82.17083333,-69.83083333,C,0.550000012,0.550000012,0,mT,BSDL1906
"SL504A,LOGLE511",82.175,-69.76833333,C,1.100000024,1.100000024,0,mP,[SL63] 504A
KMHK938,82.17916667,-64.67944444,CA,0.800000012,0.649999976,20,,KMHK938
"SL504,HS321,LOGLE512",82.18333333,-69.83472222,C,0.850000024,0.850000024,0,mT,[SL63] 504
"HS318,KMHK948",82.18333333,-67.05972222,CA,0.899999976,0.800000012,50,in Shapley-III,[HS66] 318
"NGC1978,SL501,ESO85SC90,KMHK944",82.1875,-66.23611111,C,4,2.700000048,160,sup Shapley-III,NGC 1978
"HS323,LOGLE515",82.19583333,-70.205,C,0.649999976,0.5,40,,[HS66] 323
"HS319,BRHT52a",82.2,-68.98555556,C,1,1,0,"mP,sup? BSDL1905",[HS66] 319
"SL505,KMHK960",82.20833333,-71.63277778,C,1.200000048,1.100000024,160,,[SL63] 505
BSDL1882,82.20833333,-66.0025,C,0.600000024,0.550000012,110,in BSDL1811,BSDL1882
LOGLE513,82.2125,-70.01166667,C,1,1,0,,OGLE-CL LMC 513
