#@string,string,string,string,ra,dec,string,string,string,string,string,string,string
idx,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,rootname,filename,s_region
49,WFC3,UVIS,13901,LH95,84.270833,-66.363056,F555W,...,Da Rio,1255,2013-05-26,ic1t01ojq,multiband/13901_LH95/ic1t01ojq_flt.fits,'POLYGON 84.3116071 -66.32885992 84.17677546 -66.34629879 84.22998944 -66.39827947 84.36298523 -66.38259085 84.3116071 -66.32885992 84.3116071 -66.32885992'
50,WFC3,UVIS,13901,LH95,84.270833,-66.363056,F555W,...,Da Rio,147,2013-05-26,ic1t01ooq,multiband/13901_LH95/ic1t01ooq_flt.fits,'POLYGON 84.3116071 -66.32885992 84.17677546 -66.34629879 84.22998944 -66.39827947 84.36298523 -66.38259085 84.3116071 -66.32885992 84.3116071 -66.32885992'
51,WFC3,UVIS,13901,LH95,84.270833,-66.363056,F555W,...,Da Rio,1247,2013-05-26,ic1t01oqq,multiband/13901_LH95/ic1t01oqq_flt.fits,'POLYGON 84.3116071 -66.32885992 84.17677546 -66.34629879 84.22998944 -66.39827947 84.36298523 -66.38259085 84.3116071 -66.32885992 84.3116071 -66.32885992'
52,WFC3,UVIS,13901,LH95,84.270833,-66.363056,F814W,...,Da Rio,155,2013-05-28,ic1t02h0q,multiband/13901_LH95/ic1t02h0q_flt.fits,'POLYGON 84.31554897 -66.32745038 84.17978497 -66.34366757 84.23005923 -66.39611547 84.36389591 -66.38163155 84.31554897 -66.32745038 84.31554897 -66.32745038'
53,WFC3,UVIS,13901,LH95,84.270833,-66.363056,F814W,...,Da Rio,1255,2013-05-28,ic1t02h1q,multiband/13901_LH95/ic1t02h1q_flt.fits,'POLYGON 84.31554897 -66.32745038 84.17978497 -66.34366757 84.23005923 -66.39611547 84.36389591 -66.38163155 84.31554897 -66.32745038 84.31554897 -66.32745038'
54,WFC3,UVIS,13901,LH95,84.270833,-66.363056,F814W,...,Da Rio,147,2013-05-28,ic1t02h6q,multiband/13901_LH95/ic1t02h6q_flt.fits,'POLYGON 84.31554897 -66.32745038 84.17978497 -66.34366757 84.23005923 -66.39611547 84.36389591 -66.38163155 84.31554897 -66.32745038 84.31554897 -66.32745038'
55,WFC3,UVIS,13901,LH95,84.270833,-66.363056,F814W,...,Da Rio,1247,2013-05-28,ic1t02h8q,multiband/13901_LH95/ic1t02h8q_flt.fits,'POLYGON 84.31554897 -66.32745038 84.17978497 -66.34366757 84.23005923 -66.39611547 84.36389591 -66.38163155 84.31554897 -66.32745038 84.31554897 -66.32745038'
56,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,25,2006-03-02,j9aa01msq,multiband/13901_LH95/j9aa01msq_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
57,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,25,2006-03-02,j9aa01muq,multiband/13901_LH95/j9aa01muq_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
58,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,37,2006-03-02,j9aa01mwq,multiband/13901_LH95/j9aa01mwq_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
59,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,37,2006-03-02,j9aa01n0q,multiband/13901_LH95/j9aa01n0q_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
60,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,37,2006-03-02,j9aa01n2q,multiband/13901_LH95/j9aa01n2q_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
61,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,37,2006-03-02,j9aa01n6q,multiband/13901_LH95/j9aa01n6q_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
62,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,625,2006-03-02,j9aa01n7q,multiband/13901_LH95/j9aa01n7q_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
63,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,625,2006-03-02,j9aa01ndq,multiband/13901_LH95/j9aa01ndq_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
64,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,625,2006-03-02,j9aa01nfq,multiband/13901_LH95/j9aa01nfq_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
65,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,625,2006-03-02,j9aa01nlq,multiband/13901_LH95/j9aa01nlq_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
66,ACS,WFC,13901,LH95,84.27708299999999,-66.367639,F555W,CLEAR2L,Gouliermis,625,2006-03-02,j9aa01nnq,multiband/13901_LH95/j9aa01nnq_flt.fits,'POLYGON 84.32472327 -66.33380753 84.18565839 -66.3478534 84.21283131 -66.40365569 84.34798291 -66.38854617 84.32472327 -66.33380753 84.32472327 -66.33380753'
